date,medicine_name,quantity_used,season,day_of_week,month
2025-05-26,Paracetamol 650mg,19,Summer,0,5
2025-05-26,Cetirizine 10mg,7,Summer,0,5
2025-05-26,Amoxicillin 500mg,8,Summer,0,5
2025-05-26,Insulin Glargine 100IU,4,Summer,0,5
2025-05-26,Salbutamol Inhaler,2,Summer,0,5
2025-05-26,Phenytoin 100mg,3,Summer,0,5
2025-05-26,ORS (Oral Rehydration),71,Summer,0,5
2025-05-26,Cough Syrup 100ml,2,Summer,0,5
2025-05-26,Pantoprazole 40mg,20,Summer,0,5
2025-05-26,Metformin 500mg,20,Summer,0,5
2025-05-26,Amlodipine 5mg,9,Summer,0,5
2025-05-26,Azithromycin 500mg,2,Summer,0,5
2025-05-26,Ibuprofen 400mg,11,Summer,0,5
2025-05-26,Zinc Tablets 20mg,8,Summer,0,5
2025-05-26,Multivitamin Complex,10,Summer,0,5
2025-05-26,Folic Acid 5mg,12,Summer,0,5
2025-05-26,Atorvastatin 10mg,9,Summer,0,5
2025-05-26,Levocetirizine 5mg,3,Summer,0,5
2025-05-26,Ranitidine 150mg,13,Summer,0,5
2025-05-26,Diclofenac Gel 30g,6,Summer,0,5
2025-05-26,ORS (Orange Flavor),50,Summer,0,5
2025-05-26,Dolo 650mg,18,Summer,0,5
2025-05-26,Erythromycin 250mg,7,Summer,0,5
2025-05-26,Montelukast 10mg,6,Summer,0,5
2025-05-26,Carbamazepine 200mg,1,Summer,0,5
2025-05-27,Paracetamol 650mg,18,Summer,1,5
2025-05-27,Cetirizine 10mg,11,Summer,1,5
2025-05-27,Amoxicillin 500mg,6,Summer,1,5
2025-05-27,Insulin Glargine 100IU,11,Summer,1,5
2025-05-27,Salbutamol Inhaler,4,Summer,1,5
2025-05-27,Phenytoin 100mg,2,Summer,1,5
2025-05-27,ORS (Oral Rehydration),59,Summer,1,5
2025-05-27,Cough Syrup 100ml,7,Summer,1,5
2025-05-27,Pantoprazole 40mg,22,Summer,1,5
2025-05-27,Metformin 500mg,15,Summer,1,5
2025-05-27,Amlodipine 5mg,15,Summer,1,5
2025-05-27,Azithromycin 500mg,1,Summer,1,5
2025-05-27,Ibuprofen 400mg,9,Summer,1,5
2025-05-27,Zinc Tablets 20mg,11,Summer,1,5
2025-05-27,Multivitamin Complex,13,Summer,1,5
2025-05-27,Folic Acid 5mg,9,Summer,1,5
2025-05-27,Atorvastatin 10mg,9,Summer,1,5
2025-05-27,Levocetirizine 5mg,3,Summer,1,5
2025-05-27,Ranitidine 150mg,18,Summer,1,5
2025-05-27,Diclofenac Gel 30g,6,Summer,1,5
2025-05-27,ORS (Orange Flavor),33,Summer,1,5
2025-05-27,Dolo 650mg,26,Summer,1,5
2025-05-27,Erythromycin 250mg,8,Summer,1,5
2025-05-27,Montelukast 10mg,7,Summer,1,5
2025-05-27,Carbamazepine 200mg,3,Summer,1,5
2025-05-28,Paracetamol 650mg,10,Summer,2,5
2025-05-28,Cetirizine 10mg,11,Summer,2,5
2025-05-28,Amoxicillin 500mg,11,Summer,2,5
2025-05-28,Insulin Glargine 100IU,7,Summer,2,5
2025-05-28,Salbutamol Inhaler,2,Summer,2,5
2025-05-28,Phenytoin 100mg,2,Summer,2,5
2025-05-28,ORS (Oral Rehydration),74,Summer,2,5
2025-05-28,Cough Syrup 100ml,4,Summer,2,5
2025-05-28,Pantoprazole 40mg,31,Summer,2,5
2025-05-28,Metformin 500mg,23,Summer,2,5
2025-05-28,Amlodipine 5mg,13,Summer,2,5
2025-05-28,Azithromycin 500mg,5,Summer,2,5
2025-05-28,Ibuprofen 400mg,10,Summer,2,5
2025-05-28,Zinc Tablets 20mg,12,Summer,2,5
2025-05-28,Multivitamin Complex,15,Summer,2,5
2025-05-28,Folic Acid 5mg,17,Summer,2,5
2025-05-28,Atorvastatin 10mg,16,Summer,2,5
2025-05-28,Levocetirizine 5mg,3,Summer,2,5
2025-05-28,Ranitidine 150mg,17,Summer,2,5
2025-05-28,Diclofenac Gel 30g,3,Summer,2,5
2025-05-28,ORS (Orange Flavor),49,Summer,2,5
2025-05-28,Dolo 650mg,14,Summer,2,5
2025-05-28,Erythromycin 250mg,4,Summer,2,5
2025-05-28,Montelukast 10mg,8,Summer,2,5
2025-05-28,Carbamazepine 200mg,2,Summer,2,5
2025-05-29,Paracetamol 650mg,18,Summer,3,5
2025-05-29,Cetirizine 10mg,7,Summer,3,5
2025-05-29,Amoxicillin 500mg,13,Summer,3,5
2025-05-29,Insulin Glargine 100IU,1,Summer,3,5
2025-05-29,Salbutamol Inhaler,1,Summer,3,5
2025-05-29,Phenytoin 100mg,3,Summer,3,5
2025-05-29,ORS (Oral Rehydration),70,Summer,3,5
2025-05-29,Cough Syrup 100ml,5,Summer,3,5
2025-05-29,Pantoprazole 40mg,21,Summer,3,5
2025-05-29,Metformin 500mg,18,Summer,3,5
2025-05-29,Amlodipine 5mg,16,Summer,3,5
2025-05-29,Azithromycin 500mg,2,Summer,3,5
